trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.7, 'e': 0.9888977431398188}",30,0,-111.6140160931335,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
96,False,"{'a': 0.7, 'e': 0.9886632262005052}",35,0,-331.1457650390537,"{0: 17, 1: 2, 2: 10, 3: 0, 4: 6}",0
97,False,"{'a': 0.7, 'e': 0.9884262723057059}",30,0,-155.5548683328226,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 3}",0
98,False,"{'a': 0.7, 'e': 0.9881868820394885}",25,0,-42.03847490341019,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
99,False,"{'a': 0.7, 'e': 0.9879450559919257}",20,0,-144.639496402568,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
100,False,"{'a': 0.7, 'e': 0.9877007947590948}",20,0,-97.18859419075616,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
101,False,"{'a': 0.7, 'e': 0.9874540989430749}",20,0,-114.55364169133456,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
102,False,"{'a': 0.7, 'e': 0.9872049691519464}",30,4,-259.74412971182113,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 5}",1
103,False,"{'a': 0.7, 'e': 0.9869534059997894}",20,0,-57.67460634081445,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
104,False,"{'a': 0.7, 'e': 0.9866994101066816}",20,0,-216.2788549778477,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
105,False,"{'a': 0.7, 'e': 0.9864429820986974}",30,0,-102.94733209467255,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
106,False,"{'a': 0.7, 'e': 0.9861841226079061}",20,0,-36.54694372706415,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
107,False,"{'a': 0.7, 'e': 0.9859228322723702}",25,0,-209.92885639448752,"{0: 10, 1: 6, 2: 5, 3: 1, 4: 3}",0
108,False,"{'a': 0.7, 'e': 0.9856591117361444}",25,0,-134.964504736614,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
109,False,"{'a': 0.7, 'e': 0.9853929616492729}",20,10,-68.21754051972553,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
110,False,"{'a': 0.7, 'e': 0.9851243826677893}",25,0,-226.84688390873387,"{0: 11, 1: 4, 2: 6, 3: 0, 4: 4}",0
111,False,"{'a': 0.7, 'e': 0.9848533754537137}",20,0,-138.13660661161626,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
112,False,"{'a': 0.7, 'e': 0.9845799406750515}",25,0,-69.87913993705833,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
113,False,"{'a': 0.7, 'e': 0.984304079005792}",30,0,-134.42919977293465,"{0: 17, 1: 3, 2: 6, 3: 4, 4: 0}",0
114,False,"{'a': 0.7, 'e': 0.9840257911259065}",20,0,-82.99110457751196,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
115,False,"{'a': 0.7, 'e': 0.9837450777213468}",20,0,-50.45590490317923,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
116,False,"{'a': 0.7, 'e': 0.983461939484043}",30,0,-188.662770948879,"{0: 13, 1: 6, 2: 7, 3: 3, 4: 1}",0
117,False,"{'a': 0.7, 'e': 0.9831763771119025}",20,0,-208.74210946708885,"{0: 8, 1: 0, 2: 8, 3: 1, 4: 3}",0
118,False,"{'a': 0.7, 'e': 0.9828883913088079}",25,0,-171.76433438567835,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
119,False,"{'a': 0.7, 'e': 0.9825979827846152}",25,0,-19.04491603581136,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
120,False,"{'a': 0.7, 'e': 0.9823051522551522}",25,0,-163.80933481932644,"{0: 13, 1: 7, 2: 2, 3: 0, 4: 3}",0
121,False,"{'a': 0.7, 'e': 0.9820099004422168}",20,0,-79.71492359781796,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
122,False,"{'a': 0.7, 'e': 0.981712228073575}",25,0,-66.7682796610042,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
123,False,"{'a': 0.7, 'e': 0.9814121358829593}",25,0,-97.59078704378238,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
124,False,"{'a': 0.7, 'e': 0.9811096246100668}",20,8,-43.44362977972562,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.7, 'e': 0.9808046950005572}",20,0,-183.65790014826436,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 4}",0
126,False,"{'a': 0.7, 'e': 0.9804973478060516}",35,0,-204.52066612091463,"{0: 18, 1: 6, 2: 7, 3: 2, 4: 2}",0
127,False,"{'a': 0.7, 'e': 0.9801875837841297}",35,0,-215.78730265151302,"{0: 21, 1: 2, 2: 7, 3: 2, 4: 3}",0
128,False,"{'a': 0.7, 'e': 0.9798754036983289}",20,0,-95.69422526304207,"{0: 10, 1: 4, 2: 3, 3: 3, 4: 0}",0
129,False,"{'a': 0.7, 'e': 0.9795608083181417}",20,0,-106.76728872520351,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
130,False,"{'a': 0.7, 'e': 0.979243798419014}",25,0,-265.3747204461395,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 5}",0
131,False,"{'a': 0.7, 'e': 0.9789243747823434}",20,0,-104.8622573050104,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
132,False,"{'a': 0.7, 'e': 0.9786025381954769}",20,0,-62.091616834489315,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
133,False,"{'a': 0.7, 'e': 0.9782782894517097}",25,12,-77.93162900282611,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 1}",1
134,False,"{'a': 0.7, 'e': 0.977951629350282}",25,0,-117.0285341577066,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
